parent_asin,title,description,features,categories,retrieval_text
B0084IG7KC,The Hunger Games (Blu-ray + Digital Copy) [Blu-ray] [2012],"Product Description Based on the first novel of Suzanne Collins' best selling The Hunger Games trilogy. In the ruins of what was once North America, twelve remaining districts are forced by the Capitol to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, televised for all to see. 16-year-old Katniss Everdeen becomes a contender in the Games in order to save her little sister from having to compete. Only one of the 24 contenders can survive. To win the Games and return home, Katniss must make choices that weigh survival against humanity and life against love. Amazon.com Building on her performance as a take-no-prisoners teenager in Winter's Bone , Jennifer Lawrence portrays heroine Katniss Everdeen in Gary Ross's action-oriented adaptation of author-screenwriter Suzanne Collins's young adult bestseller. Set in a dystopian future in which the income gap is greater than ever, 24 underprivileged youth fight to the death every year in a televised spectacle designed to entertain the rich and give the poor enough hope to quell any further unrest--but not too much, warns Panem president Snow (Donald Sutherland), because that would be ""dangerous."" Hailing from the same mining town, 16-year-olds Katniss and Peeta (Josh Hutcherson, The Kids Are All Right ) represent District 12 with the help of escort Effie (an unrecognizable Elizabeth Banks) and mentor Haymitch (a scene-stealing Woody Harrelson). At first they're adversaries, but a wary partnership eventually develops, though the rules stipulate that only one contestant can win. For those who haven't read the book, the conclusion is likely to come as a surprise. Before it arrives, Ross ( Pleasantville ) depicts a society in which the Haves appear to have stepped out of a Dr. Seuss book and the Have-Nots look like refugees from the WPA photographs of Walker Evans. It's an odd mix, made odder still by frenetic fight scenes where it's hard to tell who's doing what to whom. Fortunately, Lawrence and Hutcherson prove a sympathetic match in this crazy, mixed-up combination of Survivor , Lost , and the collected works of George Orwell. --Kathleen C. Fennessy Synopsis Every year in the ruins of what was once North America, the Capitol of the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games. A twisted punishment for a past uprising and an ongoing government intimidation tactic, the Hunger Games are a nationally televised event in which “Tributes” must fight with one another until one survivor remains. Sixteen-year-old Katniss Everdeen volunteers in her younger sister’s place to enter the games, and is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy when she’s pitted against highly-trained Tributes who have prepared for these Games their entire lives. If she’s ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. About the Author SUZANNE COLLINS first made her mark in children’s literature with the New York Times bestselling Underland Chronicles for middle grade readers. Her debut for readers aged 12 and up, The Hunger Games was an instant bestseller, appealing to both teen readers and adults. It has appeared on the New York Times bestseller list for more than 180 consecutive weeks/more than three consecutive years since publication. Suzanne Collins also had a successful and prolific career writing for children’s television. In 2010 Collins was named to the TIME 100 list as well as the Entertainment Weekly Entertainers of the Year list. In 2011 Fast Company named her to their 100 Most Creative People in Business. Meet the Characters Katniss Everdeen The Tribute who becomes a heroine when she volunteers to take her sister’s place in the Hunger Games. Peeta Mellark The male Tribute from District 12, who has long harbored secret feelings for Katniss. Gale Hawthorne Katniss’s fellow hunter, rebel and best friend, who is heartbroken when she volunteers and departs for the Games. Haymitch Abernathy Victor of the 50th Hunger Games, now the rarely sober mentor for Katniss and Peeta. Effie Trinket Katniss’s elaborately-coiffed escort and PR handler for the Games. Cinna Katniss’s personal Stylist for the Games who becomes her unexpected confidante and supporter.",,Movies & TV Blu-ray Movies,"The Hunger Games (Blu-ray + Digital Copy) [Blu-ray] [2012]. Product Description Based on the first novel of Suzanne Collins' best selling The Hunger Games trilogy. In the ruins of what was once North America, twelve remaining districts are forced by the Capitol to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, televised for all to see. 16-year-old Katniss Everdeen becomes a contender in the Games in order to save her little sister from having to compete. Only one of the 24 contenders can survive. To win the Games and return home, Katniss must make choices that weigh survival against humanity and life against love. Amazon.com Building on her performance as a take-no-prisoners teenager in Winter's Bone , Jennifer Lawrence portrays heroine Katniss Everdeen in Gary Ross's action-oriented adaptation of author-screenwriter Suzanne Collins's young adult bestseller. Set in a dystopian future in which the income gap is greater than ever, 24 underprivileged youth fight to the death every year in a televised spectacle designed to entertain the rich and give the poor enough hope to quell any further unrest--but not too much, warns Panem president Snow (Donald Sutherland), because that would be ""dangerous."" Hailing from the same mining town, 16-year-olds Katniss and Peeta (Josh Hutcherson, The Kids Are All Right ) represent District 12 with the help of escort Effie (an unrecognizable Elizabeth Banks) and mentor Haymitch (a scene-stealing Woody Harrelson). At first they're adversaries, but a wary partnership eventually develops, though the rules stipulate that only one contestant can win. For those who haven't read the book, the conclusion is likely to come as a surprise. Before it arrives, Ross ( Pleasantville ) depicts a society in which the Haves appear to have stepped out of a Dr. Seuss book and the Have-Nots look like refugees from the WPA photographs of Walker Evans. It's an odd mix, made odder still by frenetic fight scenes where it's hard to tell who's doing what to whom. Fortunately, Lawrence and Hutcherson prove a sympathetic match in this crazy, mixed-up combination of Survivor , Lost , and the collected works of George Orwell. --Kathleen C. Fennessy Synopsis Every year in the ruins of what was once North America, the Capitol of the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games. A twisted punishment for a past uprising and an ongoing government intimidation tactic, the Hunger Games are a nationally televised event in which “Tributes” must fight with one another until one survivor remains. Sixteen-year-old Katniss Everdeen volunteers in her younger sister’s place to enter the games, and is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy when she’s pitted against highly-trained Tributes who have prepared for these Games their entire lives. If she’s ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. About the Author SUZANNE COLLINS first made her mark in children’s literature with the New York Times bestselling Underland Chronicles for middle grade readers. Her debut for readers aged 12 and up, The Hunger Games was an instant bestseller, appealing to both teen readers and adults. It has appeared on the New York Times bestseller list for more than 180 consecutive weeks/more than three consecutive years since publication. Suzanne Collins also had a successful and prolific career writing for children’s television. In 2010 Collins was named to the TIME 100 list as well as the Entertainment Weekly Entertainers of the Year list. In 2011 Fast Company named her to their 100 Most Creative People in Business. Meet the Characters Katniss Everdeen The Tribute who becomes a heroine when she volunteers to take her sister’s place in the Hunger Games. Peeta Mellark The male Tribute from District 12, who has long harbored secret feelings for Katniss. Gale Hawthorne Katniss’s fellow hunter, rebel and best friend, who is heartbroken when she volunteers and departs for the Games. Haymitch Abernathy Victor of the 50th Hunger Games, now the rarely sober mentor for Katniss and Peeta. Effie Trinket Katniss’s elaborately-coiffed escort and PR handler for the Games. Cinna Katniss’s personal Stylist for the Games who becomes her unexpected confidante and supporter.  Movies & TV Blu-ray Movies"
B07FMF2689,,,,,.
B085GL1T2R,,,,,.
B07KWGPL84,,,,,.
B01LWY8995,,,,,.
B008Y5NPUU,,,,,.
1596686502,The Loom Owner's Companion: Know and Love Your Loom!,"Tom Knisely gives an overview of different floor loom types, how they function, and how to keep them in best working condition, plus tips for warping and weaving with different loom types.",,Movies & TV Movies,"The Loom Owner's Companion: Know and Love Your Loom!. Tom Knisely gives an overview of different floor loom types, how they function, and how to keep them in best working condition, plus tips for warping and weaving with different loom types.  Movies & TV Movies"
B06WVW16WY,,,,,.
B07R962PP4,,,,,.
B00HS3PGF6,Unforgiven / Outlaw Josey Wales [Blu-ray],"Unforgiven / Outlaw Josey Wales, The (DBFE)(BD) In this classic modern Western, Unforgiven, Clint Eastwood and Morgan Freeman play retired, down-on-their-luck outlaws who pick up their guns one last time to collect a bounty offered by the vengeful prostitutes of the remote Wyoming town of Big Whiskey. The Outlaw Josey Wales is a hard-hitting, fast-drawing loner, on the lam and pursued by a pack of killers after avenging his family’s brutal murder. He travels alone, but a ragtag group of outcasts is drawn to him – and Wales can’t leave his motley surrogate family unprotected. ]]>",,Movies & TV Blu-ray Movies,"Unforgiven / Outlaw Josey Wales [Blu-ray]. Unforgiven / Outlaw Josey Wales, The (DBFE)(BD) In this classic modern Western, Unforgiven, Clint Eastwood and Morgan Freeman play retired, down-on-their-luck outlaws who pick up their guns one last time to collect a bounty offered by the vengeful prostitutes of the remote Wyoming town of Big Whiskey. The Outlaw Josey Wales is a hard-hitting, fast-drawing loner, on the lam and pursued by a pack of killers after avenging his family’s brutal murder. He travels alone, but a ragtag group of outcasts is drawn to him – and Wales can’t leave his motley surrogate family unprotected. ]]>  Movies & TV Blu-ray Movies"
B008Y7IUBM,,,,,.
B0091VXC54,,,,,.
B00170LCWC,Witchblade: The Complete Series,"Product Description Witchblade: The Complete Series (DVD) ]]> Set Contains: In this adaptation of the Top Cow comic book, Witchblade is the story of a New York detective, Sara ""Pez"" Pezzini, whose search for justice brings her into contact with the Witchblade, an ancient, intelligent, living weapon so powerful it can battle Earth's darkest evil forces. Week in and week out, ""Pez"" employs her skills as a police detective to fight crime. She finds she must employ the Witchblade to combat a much greater and frighteningly organized conspiracy of evil that threatens the very soul of humanity. As Sara tries to keep the secret of the Witchblade, do her job and have a personal life, she finds that her most formidable adversary may be the Witchblade itself. Witchblade: The Complete Series stars Yancy Butler (As the World Turns), John Hensley (Nip/Tuck), and David Chokachi (Baywatch) and features guest star Roger Daltrey (The Who). This seven-disc collector's set includes all 23 episodes from seasons 1 and 2, the original made-for-TV movie and never-before-seen bonus features.",,Movies & TV Boxed Sets Sci-Fi & Fantasy,"Witchblade: The Complete Series. Product Description Witchblade: The Complete Series (DVD) ]]> Set Contains: In this adaptation of the Top Cow comic book, Witchblade is the story of a New York detective, Sara ""Pez"" Pezzini, whose search for justice brings her into contact with the Witchblade, an ancient, intelligent, living weapon so powerful it can battle Earth's darkest evil forces. Week in and week out, ""Pez"" employs her skills as a police detective to fight crime. She finds she must employ the Witchblade to combat a much greater and frighteningly organized conspiracy of evil that threatens the very soul of humanity. As Sara tries to keep the secret of the Witchblade, do her job and have a personal life, she finds that her most formidable adversary may be the Witchblade itself. Witchblade: The Complete Series stars Yancy Butler (As the World Turns), John Hensley (Nip/Tuck), and David Chokachi (Baywatch) and features guest star Roger Daltrey (The Who). This seven-disc collector's set includes all 23 episodes from seasons 1 and 2, the original made-for-TV movie and never-before-seen bonus features.  Movies & TV Boxed Sets Sci-Fi & Fantasy"
B00PSLQYWE,,,,,.
B0837J84DX,,,,,.
B07NSMGYGS,,,,,.
B07YSZKB62,,,,,.
B01AMUSHAC,,,,,.
B07N9KV8BX,,,,,.
B07YTDDKSH,Hogan's Heroes: The Complete Series,"Hilarity finds a home in the most unlikely of places - a World War II German POW camp - in this 1960s comedy series. Bob Crane stars as Col. Robert Hogan, an irascible wise guy who leads his fellow prisoners in a variety of mad escape plots. The butts of the jokes are the starched-stiff Germans, particularly Col. Wilhelm Klink (Werner Klemperer), whose exasperated cry of ""Hogan!"" became one of the show's many repeatable catchphrases.",,Movies & TV Paramount Home Entertainment,"Hogan's Heroes: The Complete Series. Hilarity finds a home in the most unlikely of places - a World War II German POW camp - in this 1960s comedy series. Bob Crane stars as Col. Robert Hogan, an irascible wise guy who leads his fellow prisoners in a variety of mad escape plots. The butts of the jokes are the starched-stiff Germans, particularly Col. Wilhelm Klink (Werner Klemperer), whose exasperated cry of ""Hogan!"" became one of the show's many repeatable catchphrases.  Movies & TV Paramount Home Entertainment"
B00Z89MYTI,,,,,.
B071938BXX,,,,,.
B073441MJ1,,,,,.
B01CUVU7DQ,,,,,.
B0001I55Y2,Never Cry Wolf,"Filmed amid spectacular wilderness vistas, NEVER CRY WOLF reveals a world of hypnotic beauty and breathtaking cinematic imagery. An unforgettable adventure begins as Tyler, a young inexperienced biologist, is deposited alone onto the desolate Arctic terrain. Once settled, he struggles to endure the forces of nature as he documents the mysterious habits of the wolves he has been sent to study. An odyssey of self-discovery told through captivating drama, NEVER CRY WOLF is a haunting, lyrical film from the director of THE BLACK STALLION.|Ironically, the main character in this Disney film eats mice in order to survive.|The film made many critics Top 10 lists for 1983.",,Movies & TV Walt Disney Studios Home Entertainment All Disney Titles,"Never Cry Wolf. Filmed amid spectacular wilderness vistas, NEVER CRY WOLF reveals a world of hypnotic beauty and breathtaking cinematic imagery. An unforgettable adventure begins as Tyler, a young inexperienced biologist, is deposited alone onto the desolate Arctic terrain. Once settled, he struggles to endure the forces of nature as he documents the mysterious habits of the wolves he has been sent to study. An odyssey of self-discovery told through captivating drama, NEVER CRY WOLF is a haunting, lyrical film from the director of THE BLACK STALLION.|Ironically, the main character in this Disney film eats mice in order to survive.|The film made many critics Top 10 lists for 1983.  Movies & TV Walt Disney Studios Home Entertainment All Disney Titles"
